bit_size,hamming_weight,algorithm,k,sample,multiplications,squarings,total_ops
1024,100,sliding,4,9,82,1024,1106
1024,100,kary,6,9,232,1020,1252
1024,100,sliding,6,9,99,1024,1123
1024,100,binary_lr,,10,100,1024,1124
1024,100,binary_rl,,10,100,1023,1123
1024,100,kary,4,10,269,1020,1289
1024,100,sliding,4,10,79,1022,1101
1024,100,kary,6,10,232,1020,1252
1024,100,sliding,6,10,88,1020,1108
1024,100,binary_lr,,11,100,1024,1124
1024,100,binary_rl,,11,100,1023,1123
1024,100,kary,4,11,269,1020,1289
1024,100,sliding,4,11,87,1024,1111
1024,100,kary,6,11,232,1020,1252
1024,100,sliding,6,11,99,1020,1119
1024,100,binary_lr,,12,100,1024,1124
1024,100,binary_rl,,12,100,1023,1123
1024,100,kary,4,12,269,1020,1289
1024,100,sliding,4,12,82,1024,1106
1024,100,kary,6,12,232,1020,1252
1024,100,sliding,6,12,99,1024,1123
1024,100,binary_lr,,13,100,1024,1124
1024,100,binary_rl,,13,100,1023,1123
1024,100,kary,4,13,269,1020,1289
1024,100,sliding,4,13,77,1024,1101
1024,100,kary,6,13,232,1020,1252
1024,100,sliding,6,13,95,1024,1119
1024,100,binary_lr,,14,100,1024,1124
1024,100,binary_rl,,14,100,1023,1123
1024,100,kary,4,14,269,1020,1289
1024,100,sliding,4,14,78,1024,1102
1024,100,kary,6,14,232,1020,1252
1024,100,sliding,6,14,89,1024,1113
1024,100,binary_lr,,15,100,1024,1124
1024,100,binary_rl,,15,100,1023,1123
1024,100,kary,4,15,269,1020,1289
1024,100,sliding,4,15,80,1024,1104
1024,100,kary,6,15,232,1020,1252
1024,100,sliding,6,15,97,1024,1121
1024,100,binary_lr,,16,100,1024,1124
1024,100,binary_rl,,16,100,1023,1123
1024,100,kary,4,16,269,1020,1289
1024,100,sliding,4,16,82,1022,1104
1024,100,kary,6,16,232,1020,1252
1024,100,sliding,6,16,100,1022,1122
1024,100,binary_lr,,17,100,1024,1124
1024,100,binary_rl,,17,100,1023,1123
1024,100,kary,4,17,269,1020,1289
1024,100,sliding,4,17,82,1024,1106
1024,100,kary,6,17,232,1020,1252
1024,100,sliding,6,17,95,1024,1119
1024,100,binary_lr,,18,100,1024,1124
1024,100,binary_rl,,18,100,1023,1123
1024,100,kary,4,18,269,1020,1289
1024,100,sliding,4,18,80,1021,1101
1024,100,kary,6,18,232,1020,1252
1024,100,sliding,6,18,96,1019,1115
1024,100,binary_lr,,19,100,1024,1124
1024,100,binary_rl,,19,100,1023,1123
1024,100,kary,4,19,269,1020,1289
1024,100,sliding,4,19,88,1024,1112
1024,100,kary,6,19,232,1020,1252
1024,100,sliding,6,19,100,1019,1119
1024,200,binary_lr,,0,200,1024,1224
1024,200,binary_rl,,0,200,1023,1223
1024,200,kary,4,0,269,1020,1289
1024,200,sliding,4,0,133,1021,1154
1024,200,kary,6,0,232,1020,1252
1024,200,sliding,6,0,134,1019,1153
1024,200,binary_lr,,1,200,1024,1224
1024,200,binary_rl,,1,200,1023,1223
1024,200,kary,4,1,269,1020,1289
1024,200,sliding,4,1,136,1022,1158
1024,200,kary,6,1,232,1020,1252
1024,200,sliding,6,1,128,1022,1150
1024,200,binary_lr,,2,200,1024,1224
1024,200,binary_rl,,2,200,1023,1223
1024,200,kary,4,2,269,1020,1289
1024,200,sliding,4,2,130,1024,1154
1024,200,kary,6,2,232,1020,1252
1024,200,sliding,6,2,126,1024,1150
1024,200,binary_lr,,3,200,1024,1224
1024,200,binary_rl,,3,200,1023,1223
1024,200,kary,4,3,269,1020,1289
1024,200,sliding,4,3,134,1024,1158
1024,200,kary,6,3,232,1020,1252
1024,200,sliding,6,3,133,1024,1157
1024,200,binary_lr,,4,200,1024,1224
1024,200,binary_rl,,4,200,1023,1223
1024,200,kary,4,4,269,1020,1289
1024,200,sliding,4,4,136,1021,1157
1024,200,kary,6,4,232,1020,1252
1024,200,sliding,6,4,138,1020,1158
1024,200,binary_lr,,5,200,1024,1224
1024,200,binary_rl,,5,200,1023,1223
1024,200,kary,4,5,269,1020,1289
1024,200,sliding,4,5,128,1024,1152
1024,200,kary,6,5,232,1020,1252
1024,200,sliding,6,5,134,1020,1154
1024,200,binary_lr,,6,200,1024,1224
1024,200,binary_rl,,6,200,1023,1223
1024,200,kary,4,6,269,1020,1289
1024,200,sliding,4,6,139,1022,1161
1024,200,kary,6,6,232,1020,1252
1024,200,sliding,6,6,135,1019,1154
1024,200,binary_lr,,7,200,1024,1224
1024,200,binary_rl,,7,200,1023,1223
1024,200,kary,4,7,269,1020,1289
1024,200,sliding,4,7,133,1023,1156
1024,200,kary,6,7,232,1020,1252
1024,200,sliding,6,7,128,1023,1151
1024,200,binary_lr,,8,200,1024,1224
1024,200,binary_rl,,8,200,1023,1223
1024,200,kary,4,8,269,1020,1289
1024,200,sliding,4,8,133,1024,1157
1024,200,kary,6,8,232,1020,1252
1024,200,sliding,6,8,132,1024,1156
1024,200,binary_lr,,9,200,1024,1224
1024,200,binary_rl,,9,200,1023,1223
1024,200,kary,4,9,269,1020,1289
1024,200,sliding,4,9,143,1021,1164
1024,200,kary,6,9,232,1020,1252
1024,200,sliding,6,9,137,1020,1157
1024,200,binary_lr,,10,200,1024,1224
1024,200,binary_rl,,10,200,1023,1223
1024,200,kary,4,10,269,1020,1289
1024,200,sliding,4,10,133,1021,1154
1024,200,kary,6,10,232,1020,1252
1024,200,sliding,6,10,130,1020,1150
1024,200,binary_lr,,11,200,1024,1224
1024,200,binary_rl,,11,200,1023,1223
1024,200,kary,4,11,269,1020,1289
1024,200,sliding,4,11,135,1023,1158
1024,200,kary,6,11,232,1020,1252
1024,200,sliding,6,11,131,1023,1154
1024,200,binary_lr,,12,200,1024,1224
1024,200,binary_rl,,12,200,1023,1223
1024,200,kary,4,12,269,1020,1289
1024,200,sliding,4,12,133,1021,1154
1024,200,kary,6,12,232,1020,1252
1024,200,sliding,6,12,130,1019,1149
1024,200,binary_lr,,13,200,1024,1224
1024,200,binary_rl,,13,200,1023,1223
1024,200,kary,4,13,269,1020,1289
1024,200,sliding,4,13,136,1022,1158
1024,200,kary,6,13,232,1020,1252
1024,200,sliding,6,13,134,1020,1154
1024,200,binary_lr,,14,200,1024,1224
1024,200,binary_rl,,14,200,1023,1223
1024,200,kary,4,14,269,1020,1289
1024,200,sliding,4,14,134,1024,1158
1024,200,kary,6,14,232,1020,1252
1024,200,sliding,6,14,134,1024,1158
1024,200,binary_lr,,15,200,1024,1224
1024,200,binary_rl,,15,200,1023,1223
1024,200,kary,4,15,269,1020,1289
1024,200,sliding,4,15,135,1024,1159
1024,200,kary,6,15,232,1020,1252
1024,200,sliding,6,15,137,1024,1161
1024,200,binary_lr,,16,200,1024,1224
1024,200,binary_rl,,16,200,1023,1223
1024,200,kary,4,16,269,1020,1289
1024,200,sliding,4,16,129,1022,1151
1024,200,kary,6,16,232,1020,1252
1024,200,sliding,6,16,137,1022,1159
1024,200,binary_lr,,17,200,1024,1224
1024,200,binary_rl,,17,200,1023,1223
1024,200,kary,4,17,269,1020,1289
1024,200,sliding,4,17,129,1021,1150
1024,200,kary,6,17,232,1020,1252
1024,200,sliding,6,17,132,1021,1153
1024,200,binary_lr,,18,200,1024,1224
1024,200,binary_rl,,18,200,1023,1223
1024,200,kary,4,18,269,1020,1289
1024,200,sliding,4,18,125,1023,1148
1024,200,kary,6,18,232,1020,1252
1024,200,sliding,6,18,122,1023,1145
1024,200,binary_lr,,19,200,1024,1224
1024,200,binary_rl,,19,200,1023,1223
1024,200,kary,4,19,269,1020,1289
1024,200,sliding,4,19,131,1024,1155
1024,200,kary,6,19,232,1020,1252
1024,200,sliding,6,19,131,1024,1155
1024,400,binary_lr,,0,400,1024,1424
1024,400,binary_rl,,0,400,1023,1423
1024,400,kary,4,0,269,1020,1289
1024,400,sliding,4,0,191,1022,1213
1024,400,kary,6,0,232,1020,1252
1024,400,sliding,6,0,165,1019,1184
1024,400,binary_lr,,1,400,1024,1424
1024,400,binary_rl,,1,400,1023,1423
1024,400,kary,4,1,269,1020,1289
1024,400,sliding,4,1,190,1022,1212
1024,400,kary,6,1,232,1020,1252
1024,400,sliding,6,1,163,1020,1183
1024,400,binary_lr,,2,400,1024,1424
1024,400,binary_rl,,2,400,1023,1423
1024,400,kary,4,2,269,1020,1289
1024,400,sliding,4,2,189,1021,1210
1024,400,kary,6,2,232,1020,1252
1024,400,sliding,6,2,166,1021,1187
1024,400,binary_lr,,3,400,1024,1424
1024,400,binary_rl,,3,400,1023,1423
1024,400,kary,4,3,269,1020,1289
1024,400,sliding,4,3,193,1021,1214
1024,400,kary,6,3,232,1020,1252
1024,400,sliding,6,3,169,1019,1188
1024,400,binary_lr,,4,400,1024,1424
1024,400,binary_rl,,4,400,1023,1423
1024,400,kary,4,4,269,1020,1289
1024,400,sliding,4,4,198,1021,1219
1024,400,kary,6,4,232,1020,1252
1024,400,sliding,6,4,167,1021,1188
1024,400,binary_lr,,5,400,1024,1424
1024,400,binary_rl,,5,400,1023,1423
1024,400,kary,4,5,269,1020,1289
1024,400,sliding,4,5,195,1023,1218
1024,400,kary,6,5,232,1020,1252
1024,400,sliding,6,5,168,1020,1188
1024,400,binary_lr,,6,400,1024,1424
1024,400,binary_rl,,6,400,1023,1423
1024,400,kary,4,6,269,1020,1289
1024,400,sliding,4,6,183,1021,1204
1024,400,kary,6,6,232,1020,1252
1024,400,sliding,6,6,162,1020,1182
1024,400,binary_lr,,7,400,1024,1424
1024,400,binary_rl,,7,400,1023,1423
1024,400,kary,4,7,269,1020,1289
1024,400,sliding,4,7,194,1021,1215
1024,400,kary,6,7,232,1020,1252
1024,400,sliding,6,7,161,1020,1181
1024,400,binary_lr,,8,400,1024,1424
1024,400,binary_rl,,8,400,1023,1423
1024,400,kary,4,8,269,1020,1289
1024,400,sliding,4,8,187,1022,1209
1024,400,kary,6,8,232,1020,1252
1024,400,sliding,6,8,166,1020,1186
1024,400,binary_lr,,9,400,1024,1424
1024,400,binary_rl,,9,400,1023,1423
1024,400,kary,4,9,269,1020,1289
1024,400,sliding,4,9,195,1021,1216
1024,400,kary,6,9,232,1020,1252
1024,400,sliding,6,9,165,1020,1185
1024,400,binary_lr,,10,400,1024,1424
1024,400,binary_rl,,10,400,1023,1423
1024,400,kary,4,10,269,1020,1289
1024,400,sliding,4,10,190,1021,1211
