bit_size,algorithm,k,sample,multiplications,squarings,total_ops
2048,kary,3,12,605,2046,2651
2048,sliding,3,12,533,2047,2580
2048,kary,4,12,500,2044,2544
2048,sliding,4,12,418,2045,2463
2048,kary,5,12,426,2045,2471
2048,sliding,5,12,358,2045,2403
2048,kary,6,12,397,2046,2443
2048,sliding,6,12,331,2045,2376
2048,kary,7,12,417,2044,2461
2048,sliding,7,12,322,2042,2364
2048,kary,8,12,509,2040,2549
2048,sliding,8,12,360,2042,2402
2048,kary,9,12,737,2043,2780
2048,sliding,9,12,463,2040,2503
2048,kary,10,12,1226,2040,3266
2048,sliding,10,12,695,2039,2734
2048,kary,1,13,1012,2047,3059
2048,sliding,1,13,1012,2047,3059
2048,kary,2,13,764,2046,2810
2048,sliding,2,13,682,2048,2730
2048,kary,3,13,599,2046,2645
2048,sliding,3,13,508,2046,2554
2048,kary,4,13,490,2044,2534
2048,sliding,4,13,415,2045,2460
2048,kary,5,13,426,2045,2471
2048,sliding,5,13,353,2045,2398
2048,kary,6,13,397,2046,2443
2048,sliding,6,13,325,2043,2368
2048,kary,7,13,415,2044,2459
2048,sliding,7,13,322,2043,2365
2048,kary,8,13,509,2040,2549
2048,sliding,8,13,350,2043,2393
2048,kary,9,13,737,2043,2780
2048,sliding,9,13,457,2043,2500
2048,kary,10,13,1226,2040,3266
2048,sliding,10,13,694,2039,2733
2048,kary,1,14,998,2047,3045
2048,sliding,1,14,998,2047,3045
2048,kary,2,14,743,2046,2789
2048,sliding,2,14,673,2047,2720
2048,kary,3,14,604,2046,2650
2048,sliding,3,14,502,2047,2549
2048,kary,4,14,486,2044,2530
2048,sliding,4,14,410,2047,2457
2048,kary,5,14,424,2045,2469
2048,sliding,5,14,355,2044,2399
2048,kary,6,14,399,2046,2445
2048,sliding,6,14,322,2043,2365
2048,kary,7,14,415,2044,2459
2048,sliding,7,14,320,2042,2362
2048,kary,8,14,508,2040,2548
2048,sliding,8,14,353,2041,2394
2048,kary,9,14,736,2043,2779
2048,sliding,9,14,458,2041,2499
2048,kary,10,14,1225,2040,3265
2048,sliding,10,14,697,2039,2736
2048,kary,1,15,1038,2047,3085
2048,sliding,1,15,1038,2047,3085
2048,kary,2,15,762,2046,2808
2048,sliding,2,15,676,2047,2723
2048,kary,3,15,601,2046,2647
2048,sliding,3,15,517,2047,2564
2048,kary,4,15,490,2044,2534
2048,sliding,4,15,410,2045,2455
2048,kary,5,15,425,2045,2470
2048,sliding,5,15,351,2044,2395
2048,kary,6,15,398,2046,2444
2048,sliding,6,15,324,2044,2368
2048,kary,7,15,417,2044,2461
2048,sliding,7,15,318,2044,2362
2048,kary,8,15,509,2040,2549
2048,sliding,8,15,355,2044,2399
2048,kary,9,15,737,2043,2780
2048,sliding,9,15,461,2040,2501
2048,kary,10,15,1226,2040,3266
2048,sliding,10,15,695,2039,2734
2048,kary,1,16,1028,2047,3075
2048,sliding,1,16,1028,2047,3075
2048,kary,2,16,768,2046,2814
2048,sliding,2,16,687,2047,2734
2048,kary,3,16,612,2046,2658
2048,sliding,3,16,515,2047,2562
2048,kary,4,16,492,2044,2536
2048,sliding,4,16,420,2045,2465
2048,kary,5,16,423,2045,2468
2048,sliding,5,16,352,2044,2396
2048,kary,6,16,396,2046,2442
2048,sliding,6,16,325,2044,2369
2048,kary,7,16,417,2044,2461
2048,sliding,7,16,318,2042,2360
2048,kary,8,16,507,2040,2547
2048,sliding,8,16,355,2041,2396
2048,kary,9,16,737,2043,2780
2048,sliding,9,16,462,2041,2503
2048,kary,10,16,1225,2040,3265
2048,sliding,10,16,695,2039,2734
2048,kary,1,17,1021,2047,3068
2048,sliding,1,17,1021,2047,3068
2048,kary,2,17,759,2046,2805
2048,sliding,2,17,693,2047,2740
2048,kary,3,17,602,2046,2648
2048,sliding,3,17,511,2047,2558
2048,kary,4,17,494,2044,2538
2048,sliding,4,17,414,2045,2459
2048,kary,5,17,428,2045,2473
2048,sliding,5,17,357,2045,2402
2048,kary,6,17,398,2046,2444
2048,sliding,6,17,322,2045,2367
2048,kary,7,17,417,2044,2461
2048,sliding,7,17,314,2042,2356
2048,kary,8,17,508,2040,2548
2048,sliding,8,17,354,2042,2396
2048,kary,9,17,736,2043,2779
2048,sliding,9,17,458,2042,2500
2048,kary,10,17,1226,2040,3266
2048,sliding,10,17,698,2042,2740
2048,kary,1,18,993,2047,3040
2048,sliding,1,18,993,2047,3040
2048,kary,2,18,748,2046,2794
2048,sliding,2,18,674,2047,2721
2048,kary,3,18,587,2046,2633
2048,sliding,3,18,500,2046,2546
2048,kary,4,18,487,2044,2531
2048,sliding,4,18,412,2045,2457
2048,kary,5,18,423,2045,2468
2048,sliding,5,18,351,2044,2395
2048,kary,6,18,395,2046,2441
2048,sliding,6,18,318,2044,2362
2048,kary,7,18,415,2044,2459
2048,sliding,7,18,319,2044,2363
2048,kary,8,18,509,2040,2549
2048,sliding,8,18,350,2041,2391
2048,kary,9,18,737,2043,2780
2048,sliding,9,18,457,2040,2497
2048,kary,10,18,1226,2040,3266
2048,sliding,10,18,694,2039,2733
2048,kary,1,19,988,2047,3035
2048,sliding,1,19,988,2047,3035
2048,kary,2,19,745,2046,2791
2048,sliding,2,19,653,2047,2700
2048,kary,3,19,589,2046,2635
2048,sliding,3,19,503,2047,2550
2048,kary,4,19,488,2044,2532
2048,sliding,4,19,404,2047,2451
2048,kary,5,19,419,2045,2464
2048,sliding,5,19,350,2047,2397
2048,kary,6,19,396,2046,2442
2048,sliding,6,19,320,2047,2367
2048,kary,7,19,414,2044,2458
2048,sliding,7,19,321,2047,2368
2048,kary,8,19,508,2040,2548
2048,sliding,8,19,355,2041,2396
2048,kary,9,19,737,2043,2780
2048,sliding,9,19,456,2040,2496
2048,kary,10,19,1226,2040,3266
2048,sliding,10,19,692,2040,2732
