bit_size,algorithm,k,sample,time_seconds
128,sliding,4,4,3.50000336766243e-05
128,kary,6,4,4.039995837956667e-05
128,sliding,6,4,3.930006641894579e-05
128,kary,8,4,7.289997301995754e-05
128,sliding,8,4,5.489995237439871e-05
128,pow_builtin,,5,2.3999949917197227e-05
128,binary_lr,,5,3.6499928683042526e-05
128,binary_rl,,5,4.47999918833375e-05
128,kary,4,5,3.460003063082695e-05
128,sliding,4,5,3.69000481441617e-05
128,kary,6,5,4.009995609521866e-05
128,sliding,6,5,3.829994238913059e-05
128,kary,8,5,7.290008943527937e-05
128,sliding,8,5,5.4900068789720535e-05
128,pow_builtin,,6,2.2699940018355846e-05
128,binary_lr,,6,3.559992182999849e-05
128,binary_rl,,6,7.069995626807213e-05
128,kary,4,6,5.1200040616095066e-05
128,sliding,4,6,3.700004890561104e-05
128,kary,6,6,4.0499959141016006e-05
128,sliding,6,6,3.950006794184446e-05
128,kary,8,6,7.389998063445091e-05
128,sliding,8,6,5.559995770454407e-05
128,pow_builtin,,7,2.1300045773386955e-05
128,binary_lr,,7,3.070000093430281e-05
128,binary_rl,,7,4.069996066391468e-05
128,kary,4,7,3.15000070258975e-05
128,sliding,4,7,3.450002986937761e-05
128,kary,6,7,3.6899931728839874e-05
128,sliding,6,7,3.660004585981369e-05
128,kary,8,7,6.65000407025218e-05
128,sliding,8,7,5.030003376305103e-05
128,pow_builtin,,8,2.1999934688210487e-05
128,binary_lr,,8,3.3800024539232254e-05
128,binary_rl,,8,4.199997056275606e-05
128,kary,4,8,3.450002986937761e-05
128,sliding,4,8,3.6800047382712364e-05
128,kary,6,8,4.039995837956667e-05
128,sliding,6,8,3.8100057281553745e-05
128,kary,8,8,7.489998824894428e-05
128,sliding,8,8,5.449994932860136e-05
128,pow_builtin,,9,2.2300053387880325e-05
128,binary_lr,,9,3.029999788850546e-05
128,binary_rl,,9,4.20999713242054e-05
128,kary,4,9,3.190001007169485e-05
128,sliding,4,9,3.509991802275181e-05
128,kary,6,9,3.760005347430706e-05
128,sliding,6,9,3.6499928683042526e-05
128,kary,8,9,6.829993799328804e-05
128,sliding,8,9,5.170004442334175e-05
256,pow_builtin,,0,8.040003012865782e-05
256,binary_lr,,0,0.00011140003334730864
256,binary_rl,,0,0.0001295000547543168
256,kary,4,0,0.00010289996862411499
256,sliding,4,0,0.0001094000181183219
256,kary,6,0,0.00010910001583397388
256,sliding,6,0,0.00010770000517368317
256,kary,8,0,0.00015829992480576038
256,sliding,8,0,0.00013020006008446217
256,pow_builtin,,1,7.940002251416445e-05
256,binary_lr,,1,0.00011319993063807487
256,binary_rl,,1,0.00013109995052218437
256,kary,4,1,0.00010079995263367891
256,sliding,4,1,0.0001078000059351325
256,kary,6,1,0.0001094999024644494
256,sliding,6,1,0.00010929990094155073
256,kary,8,1,0.0001680999994277954
256,sliding,8,1,0.00013159995432943106
256,pow_builtin,,2,8.300004992634058e-05
256,binary_lr,,2,0.00011179991997778416
256,binary_rl,,2,0.00012560002505779266
256,kary,4,2,0.00010350008960813284
256,sliding,4,2,0.00010720000136643648
256,kary,6,2,0.00010820000898092985
256,sliding,6,2,0.0001066999975591898
256,kary,8,2,0.0001626999583095312
256,sliding,8,2,0.0001327999634668231
256,pow_builtin,,3,8.120003622025251e-05
256,binary_lr,,3,0.0001094000181183219
256,binary_rl,,3,0.00013860000763088465
256,kary,4,3,0.00010810000821948051
256,sliding,4,3,0.00011310004629194736
256,kary,6,3,0.0001273000380024314
256,sliding,6,3,0.00011939997784793377
256,kary,8,3,0.0001732999226078391
256,sliding,8,3,0.00014400004874914885
256,pow_builtin,,4,8.150003850460052e-05
256,binary_lr,,4,0.0001156999496743083
256,binary_rl,,4,0.00013079994823783636
256,kary,4,4,0.00010050006676465273
256,sliding,4,4,0.00010710000060498714
256,kary,6,4,0.00010639999527484179
256,sliding,6,4,0.00010519998613744974
256,kary,8,4,0.00015869992785155773
256,sliding,8,4,0.00012830004561692476
256,pow_builtin,,5,8.670007809996605e-05
256,binary_lr,,5,0.00011650007218122482
256,binary_rl,,5,0.00013349996879696846
256,kary,4,5,0.00010829989332705736
256,sliding,4,5,0.00011360005009919405
256,kary,6,5,0.00011660007294267416
256,sliding,6,5,0.00010890001431107521
256,kary,8,5,0.00017140002455562353
256,sliding,8,5,0.00013589998707175255
256,pow_builtin,,6,8.659996092319489e-05
256,binary_lr,,6,0.00012169999536126852
256,binary_rl,,6,0.0001406000228598714
256,kary,4,6,0.00011140003334730864
256,sliding,4,6,0.000116499955765903
256,kary,6,6,0.00011599995195865631
256,sliding,6,6,0.00011090002954006195
256,kary,8,6,0.00017420004587620497
256,sliding,8,6,0.00014020001981407404
256,pow_builtin,,7,8.290004916489124e-05
256,binary_lr,,7,0.00011769996490329504
256,binary_rl,,7,0.00013589998707175255
256,kary,4,7,0.00010519998613744974
256,sliding,4,7,0.00011260004248470068
256,kary,6,7,0.00010890001431107521
256,sliding,6,7,0.00010579999070614576
256,kary,8,7,0.00016219995450228453
256,sliding,8,7,0.00013139995280653238
256,pow_builtin,,8,0.00011819996871054173
256,binary_lr,,8,0.00014749995898455381
256,binary_rl,,8,0.0001930000726133585
256,kary,4,8,0.0001479999627918005
256,sliding,4,8,0.00011639995500445366
256,kary,6,8,0.00010930001735687256
256,sliding,6,8,0.00010609999299049377
256,kary,8,8,0.000166199984960258
256,sliding,8,8,0.00013099994976073503
256,pow_builtin,,9,8.099991828203201e-05
256,binary_lr,,9,0.00010830000974237919
256,binary_rl,,9,0.00012470001820474863
256,kary,4,9,0.00010140007361769676
256,sliding,4,9,0.00010720000136643648
256,kary,6,9,0.00011030002497136593
256,sliding,6,9,0.00010910001583397388
256,kary,8,9,0.00016169995069503784
256,sliding,8,9,0.00012949993833899498
512,pow_builtin,,0,0.00046470004599541426
512,binary_lr,,0,0.0006458000279963017
512,binary_rl,,0,0.0006763000274077058
512,kary,4,0,0.0005319999763742089
512,sliding,4,0,0.0005350999999791384
512,kary,6,0,0.0005862999241799116
512,sliding,6,0,0.0005384000251069665
512,kary,8,0,0.0007190000033006072
512,sliding,8,0,0.0005915999645367265
512,pow_builtin,,1,0.00048180005978792906
512,binary_lr,,1,0.0006271000020205975
512,binary_rl,,1,0.0006932999240234494
512,kary,4,1,0.0005474999779835343
512,sliding,4,1,0.0005535000236704946
512,kary,6,1,0.0005290999542921782
512,sliding,6,1,0.0005140000721439719
512,kary,8,1,0.0006530999671667814
512,sliding,8,1,0.0005780999781563878
512,pow_builtin,,2,0.00045549997594207525
512,binary_lr,,2,0.0005959999980404973
512,binary_rl,,2,0.0006627999246120453
512,kary,4,2,0.0005126999458298087
512,sliding,4,2,0.0005206000059843063
512,kary,6,2,0.0005179001018404961
512,sliding,6,2,0.0004983000690117478
512,kary,8,2,0.0006352000636979938
512,sliding,8,2,0.0005665000062435865
512,pow_builtin,,3,0.0004734999965876341
512,binary_lr,,3,0.0006384999724105
512,binary_rl,,3,0.000669300090521574
512,kary,4,3,0.0005394000327214599
512,sliding,4,3,0.0005367000121623278
512,kary,6,3,0.0005513000069186091
512,sliding,6,3,0.0005273999413475394
512,kary,8,3,0.0007042000070214272
512,sliding,8,3,0.0005956999957561493
512,pow_builtin,,4,0.0004784000338986516
512,binary_lr,,4,0.0006547999801114202
512,binary_rl,,4,0.0006813999498263001
512,kary,4,4,0.0005406000418588519
512,sliding,4,4,0.0005434999475255609
512,kary,6,4,0.0005475000943988562
512,sliding,6,4,0.0005293999565765262
512,kary,8,4,0.0007035000016912818
512,sliding,8,4,0.0005976000102236867
512,pow_builtin,,5,0.0004749000072479248
512,binary_lr,,5,0.0006383000873029232
512,binary_rl,,5,0.0006742000114172697
512,kary,4,5,0.0005350999999791384
512,sliding,4,5,0.0005393000319600105
512,kary,6,5,0.0005448000738397241
512,sliding,6,5,0.0005303999641910195
512,kary,8,5,0.0006850999779999256
512,sliding,8,5,0.0005799999926239252
512,pow_builtin,,6,0.00046220002695918083
512,binary_lr,,6,0.0006301000248640776
512,binary_rl,,6,0.0006763000274077058
512,kary,4,6,0.000521700014360249
512,sliding,4,6,0.0005226000212132931
512,kary,6,6,0.0005268999375402927
512,sliding,6,6,0.0005091999191790819
512,kary,8,6,0.0006640000501647592
512,sliding,8,6,0.0005734000587835908
512,pow_builtin,,7,0.00047779991291463375
512,binary_lr,,7,0.0006131000118330121
512,binary_rl,,7,0.0006809999467805028
512,kary,4,7,0.000534699996933341
512,sliding,4,7,0.0005388000281527638
512,kary,6,7,0.0005348999984562397
512,sliding,6,7,0.0006114999996498227
512,kary,8,7,0.0006684999680146575
512,sliding,8,7,0.0005802999949082732
512,pow_builtin,,8,0.00045819999650120735
512,binary_lr,,8,0.0006176000460982323
512,binary_rl,,8,0.0006667000707238913
512,kary,4,8,0.0005247000372037292
512,sliding,4,8,0.0005224000196903944
512,kary,6,8,0.0005243000341579318
512,sliding,6,8,0.0005083999130874872
512,kary,8,8,0.0006545999785885215
512,sliding,8,8,0.0005597000708803535
512,pow_builtin,,9,0.0004533999599516392
512,binary_lr,,9,0.0005780999781563878
512,binary_rl,,9,0.0006476000417023897
512,kary,4,9,0.0005157999694347382
512,sliding,4,9,0.0005200000014156103
512,kary,6,9,0.0005136999534443021
512,sliding,6,9,0.0005013999762013555
512,kary,8,9,0.0006435000104829669
512,sliding,8,9,0.0005653999978676438
1024,pow_builtin,,0,0.002637899946421385
1024,binary_lr,,0,0.0036636999575421214
1024,binary_rl,,0,0.003579900017939508
1024,kary,4,0,0.0028720999835059047
1024,sliding,4,0,0.0027896000538021326
1024,kary,6,0,0.0027634999714791775
1024,sliding,6,0,0.002676400006748736
1024,kary,8,0,0.003119700006209314
1024,sliding,8,0,0.0028247999725863338
1024,pow_builtin,,1,0.002641600091010332
1024,binary_lr,,1,0.0034536999883130193
1024,binary_rl,,1,0.003578700008802116
1024,kary,4,1,0.002866000053472817
1024,sliding,4,1,0.002815999905578792
1024,kary,6,1,0.002797099994495511
1024,sliding,6,1,0.0027079000137746334
1024,kary,8,1,0.003179799998179078
1024,sliding,8,1,0.002835499937646091
1024,pow_builtin,,2,0.002562499954365194
1024,binary_lr,,2,0.0034178999485448003
1024,binary_rl,,2,0.0034277000231668353
1024,kary,4,2,0.002755700028501451
1024,sliding,4,2,0.0026917000068351626
1024,kary,6,2,0.0026904999976977706
1024,sliding,6,2,0.0026032000314444304
1024,kary,8,2,0.003082999959588051
1024,sliding,8,2,0.0027674000011757016
1024,pow_builtin,,3,0.0024896999821066856
1024,binary_lr,,3,0.0034035000717267394
1024,binary_rl,,3,0.0034675999777391553
1024,kary,4,3,0.0027094000251963735
1024,sliding,4,3,0.002650699927471578
1024,kary,6,3,0.0026536000659689307
1024,sliding,6,3,0.0025580000365152955
1024,kary,8,3,0.003003199934028089
1024,sliding,8,3,0.0026870000874623656
1024,pow_builtin,,4,0.002527100034058094
1024,binary_lr,,4,0.0034583000233396888
1024,binary_rl,,4,0.0034860000014305115
1024,kary,4,4,0.0027686000103130937
1024,sliding,4,4,0.0027301000664010644
1024,kary,6,4,0.0026985000586137176
1024,sliding,6,4,0.002604000037536025
1024,kary,8,4,0.003096599946729839
1024,sliding,8,4,0.002738600014708936
1024,pow_builtin,,5,0.002621099934913218
1024,binary_lr,,5,0.0035151999909430742
1024,binary_rl,,5,0.003603599965572357
1024,kary,4,5,0.0028523000655695796
1024,sliding,4,5,0.0028141000075265765
1024,kary,6,5,0.0027599999448284507
1024,sliding,6,5,0.0026839999482035637
1024,kary,8,5,0.0031305000884458423
1024,sliding,8,5,0.002816300024278462
1024,pow_builtin,,6,0.0026021000230684876
1024,binary_lr,,6,0.0036785000702366233
1024,binary_rl,,6,0.003926599980331957
1024,kary,4,6,0.002844400005415082
1024,sliding,4,6,0.002811599988490343
1024,kary,6,6,0.0027617000741884112
1024,sliding,6,6,0.002674099989235401
1024,kary,8,6,0.0031475999858230352
1024,sliding,8,6,0.0028382999589666724
1024,pow_builtin,,7,0.00258089997805655
1024,binary_lr,,7,0.0035164000000804663
1024,binary_rl,,7,0.003527199965901673
1024,kary,4,7,0.002800100017338991
1024,sliding,4,7,0.0027617999585345387
1024,kary,6,7,0.0027336999773979187
1024,sliding,6,7,0.002647800021804869
