bit_size,algorithm,k,sample,multiplications,squarings,total_ops
24,binary_rl,,10,10,23,33
24,kary,2,10,9,22,31
24,sliding,2,10,8,24,32
24,kary,4,10,18,20,38
24,sliding,4,10,11,24,35
24,kary,6,10,65,18,83
24,sliding,6,10,34,19,53
24,kary,8,10,256,16,272
24,sliding,8,10,129,17,146
24,binary_lr,,11,10,24,34
24,binary_rl,,11,10,23,33
24,kary,2,11,8,22,30
24,sliding,2,11,7,23,30
24,kary,4,11,19,20,39
24,sliding,4,11,11,21,32
24,kary,6,11,65,18,83
24,sliding,6,11,34,19,53
24,kary,8,11,256,16,272
24,sliding,8,11,129,19,148
24,binary_lr,,12,11,24,35
24,binary_rl,,12,11,23,34
24,kary,2,12,11,22,33
24,sliding,2,12,8,23,31
24,kary,4,12,19,20,39
24,sliding,4,12,11,23,34
24,kary,6,12,65,18,83
24,sliding,6,12,34,23,57
24,kary,8,12,256,16,272
24,sliding,8,12,129,18,147
24,binary_lr,,13,16,24,40
24,binary_rl,,13,16,23,39
24,kary,2,13,12,22,34
24,sliding,2,13,9,23,32
24,kary,4,13,19,20,39
24,sliding,4,13,12,21,33
24,kary,6,13,65,18,83
24,sliding,6,13,34,19,53
24,kary,8,13,256,16,272
24,sliding,8,13,129,17,146
24,binary_lr,,14,15,24,39
24,binary_rl,,14,15,23,38
24,kary,2,14,12,22,34
24,sliding,2,14,9,23,32
24,kary,4,14,19,20,39
24,sliding,4,14,12,23,35
24,kary,6,14,65,18,83
24,sliding,6,14,34,19,53
24,kary,8,14,256,16,272
24,sliding,8,14,129,18,147
24,binary_lr,,15,12,24,36
24,binary_rl,,15,12,23,35
24,kary,2,15,10,22,32
24,sliding,2,15,9,24,33
24,kary,4,15,18,20,38
24,sliding,4,15,11,22,33
24,kary,6,15,65,18,83
24,sliding,6,15,34,20,54
24,kary,8,15,256,16,272
24,sliding,8,15,129,17,146
24,binary_lr,,16,13,24,37
24,binary_rl,,16,13,23,36
24,kary,2,16,11,22,33
24,sliding,2,16,9,23,32
24,kary,4,16,19,20,39
24,sliding,4,16,12,21,33
24,kary,6,16,65,18,83
24,sliding,6,16,34,19,53
24,kary,8,16,256,16,272
24,sliding,8,16,129,19,148
24,binary_lr,,17,13,24,37
24,binary_rl,,17,13,23,36
24,kary,2,17,11,22,33
24,sliding,2,17,10,23,33
24,kary,4,17,19,20,39
24,sliding,4,17,11,21,32
24,kary,6,17,65,18,83
24,sliding,6,17,34,19,53
24,kary,8,17,256,16,272
24,sliding,8,17,129,17,146
24,binary_lr,,18,11,24,35
24,binary_rl,,18,11,23,34
24,kary,2,18,10,22,32
24,sliding,2,18,8,24,32
24,kary,4,18,18,20,38
24,sliding,4,18,11,21,32
24,kary,6,18,65,18,83
24,sliding,6,18,34,20,54
24,kary,8,18,256,16,272
24,sliding,8,18,129,17,146
24,binary_lr,,19,13,24,37
24,binary_rl,,19,13,23,36
24,kary,2,19,10,22,32
24,sliding,2,19,8,24,32
24,kary,4,19,18,20,38
24,sliding,4,19,11,21,32
