bit_size,exponent_type,hamming_weight,beta,algorithm,k,sample,multiplications,squarings,total_ops
1024,rsa_3,2,2,kary,4,10,14,0,14
1024,rsa_3,2,2,sliding,4,10,7,1,8
1024,rsa_3,2,2,kary,6,10,62,0,62
1024,rsa_3,2,2,sliding,6,10,31,1,32
1024,power_of_2,1,1024,binary_lr,,10,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,10,1,1023,1024
1024,power_of_2,1,1024,kary,4,10,14,1020,1034
1024,power_of_2,1,1024,sliding,4,10,7,1024,1031
1024,power_of_2,1,1024,kary,6,10,62,1020,1082
1024,power_of_2,1,1024,sliding,6,10,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,10,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,10,1024,1023,2047
1024,all_ones,1024,1024,kary,4,10,269,1020,1289
1024,all_ones,1024,1024,sliding,4,10,262,1021,1283
1024,all_ones,1024,1024,kary,6,10,232,1020,1252
1024,all_ones,1024,1024,sliding,6,10,201,1019,1220
1024,random,529,1024,binary_lr,,10,529,1024,1553
1024,random,529,1024,binary_rl,,10,529,1023,1552
1024,random,529,1024,kary,4,10,257,1020,1277
1024,random,529,1024,sliding,4,10,217,1021,1238
1024,random,529,1024,kary,6,10,230,1020,1250
1024,random,529,1024,sliding,6,10,176,1019,1195
1024,rsa_65537,2,17,binary_lr,,11,2,17,19
1024,rsa_65537,2,17,binary_rl,,11,2,16,18
1024,rsa_65537,2,17,kary,4,11,15,16,31
1024,rsa_65537,2,17,sliding,4,11,8,17,25
1024,rsa_65537,2,17,kary,6,11,63,12,75
1024,rsa_65537,2,17,sliding,6,11,32,17,49
1024,rsa_3,2,2,binary_lr,,11,2,2,4
1024,rsa_3,2,2,binary_rl,,11,2,1,3
1024,rsa_3,2,2,kary,4,11,14,0,14
1024,rsa_3,2,2,sliding,4,11,7,1,8
1024,rsa_3,2,2,kary,6,11,62,0,62
1024,rsa_3,2,2,sliding,6,11,31,1,32
1024,power_of_2,1,1024,binary_lr,,11,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,11,1,1023,1024
1024,power_of_2,1,1024,kary,4,11,14,1020,1034
1024,power_of_2,1,1024,sliding,4,11,7,1024,1031
1024,power_of_2,1,1024,kary,6,11,62,1020,1082
1024,power_of_2,1,1024,sliding,6,11,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,11,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,11,1024,1023,2047
1024,all_ones,1024,1024,kary,4,11,269,1020,1289
1024,all_ones,1024,1024,sliding,4,11,262,1021,1283
1024,all_ones,1024,1024,kary,6,11,232,1020,1252
1024,all_ones,1024,1024,sliding,6,11,201,1019,1220
1024,random,513,1024,binary_lr,,11,513,1024,1537
1024,random,513,1024,binary_rl,,11,513,1023,1536
1024,random,513,1024,kary,4,11,250,1020,1270
1024,random,513,1024,sliding,4,11,213,1021,1234
1024,random,513,1024,kary,6,11,232,1020,1252
1024,random,513,1024,sliding,6,11,180,1019,1199
1024,rsa_65537,2,17,binary_lr,,12,2,17,19
1024,rsa_65537,2,17,binary_rl,,12,2,16,18
1024,rsa_65537,2,17,kary,4,12,15,16,31
1024,rsa_65537,2,17,sliding,4,12,8,17,25
1024,rsa_65537,2,17,kary,6,12,63,12,75
1024,rsa_65537,2,17,sliding,6,12,32,17,49
1024,rsa_3,2,2,binary_lr,,12,2,2,4
1024,rsa_3,2,2,binary_rl,,12,2,1,3
1024,rsa_3,2,2,kary,4,12,14,0,14
1024,rsa_3,2,2,sliding,4,12,7,1,8
1024,rsa_3,2,2,kary,6,12,62,0,62
1024,rsa_3,2,2,sliding,6,12,31,1,32
1024,power_of_2,1,1024,binary_lr,,12,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,12,1,1023,1024
1024,power_of_2,1,1024,kary,4,12,14,1020,1034
1024,power_of_2,1,1024,sliding,4,12,7,1024,1031
1024,power_of_2,1,1024,kary,6,12,62,1020,1082
1024,power_of_2,1,1024,sliding,6,12,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,12,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,12,1024,1023,2047
1024,all_ones,1024,1024,kary,4,12,269,1020,1289
1024,all_ones,1024,1024,sliding,4,12,262,1021,1283
1024,all_ones,1024,1024,kary,6,12,232,1020,1252
1024,all_ones,1024,1024,sliding,6,12,201,1019,1220
1024,random,532,1024,binary_lr,,12,532,1024,1556
1024,random,532,1024,binary_rl,,12,532,1023,1555
1024,random,532,1024,kary,4,12,259,1020,1279
1024,random,532,1024,sliding,4,12,222,1021,1243
1024,random,532,1024,kary,6,12,228,1020,1248
1024,random,532,1024,sliding,6,12,179,1020,1199
1024,rsa_65537,2,17,binary_lr,,13,2,17,19
1024,rsa_65537,2,17,binary_rl,,13,2,16,18
1024,rsa_65537,2,17,kary,4,13,15,16,31
1024,rsa_65537,2,17,sliding,4,13,8,17,25
1024,rsa_65537,2,17,kary,6,13,63,12,75
1024,rsa_65537,2,17,sliding,6,13,32,17,49
1024,rsa_3,2,2,binary_lr,,13,2,2,4
1024,rsa_3,2,2,binary_rl,,13,2,1,3
1024,rsa_3,2,2,kary,4,13,14,0,14
1024,rsa_3,2,2,sliding,4,13,7,1,8
1024,rsa_3,2,2,kary,6,13,62,0,62
1024,rsa_3,2,2,sliding,6,13,31,1,32
1024,power_of_2,1,1024,binary_lr,,13,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,13,1,1023,1024
1024,power_of_2,1,1024,kary,4,13,14,1020,1034
1024,power_of_2,1,1024,sliding,4,13,7,1024,1031
1024,power_of_2,1,1024,kary,6,13,62,1020,1082
1024,power_of_2,1,1024,sliding,6,13,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,13,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,13,1024,1023,2047
1024,all_ones,1024,1024,kary,4,13,269,1020,1289
1024,all_ones,1024,1024,sliding,4,13,262,1021,1283
1024,all_ones,1024,1024,kary,6,13,232,1020,1252
1024,all_ones,1024,1024,sliding,6,13,201,1019,1220
1024,random,497,1024,binary_lr,,13,497,1024,1521
1024,random,497,1024,binary_rl,,13,497,1023,1520
1024,random,497,1024,kary,4,13,251,1020,1271
1024,random,497,1024,sliding,4,13,205,1021,1226
1024,random,497,1024,kary,6,13,229,1020,1249
1024,random,497,1024,sliding,6,13,173,1021,1194
1024,rsa_65537,2,17,binary_lr,,14,2,17,19
1024,rsa_65537,2,17,binary_rl,,14,2,16,18
1024,rsa_65537,2,17,kary,4,14,15,16,31
1024,rsa_65537,2,17,sliding,4,14,8,17,25
1024,rsa_65537,2,17,kary,6,14,63,12,75
1024,rsa_65537,2,17,sliding,6,14,32,17,49
1024,rsa_3,2,2,binary_lr,,14,2,2,4
1024,rsa_3,2,2,binary_rl,,14,2,1,3
1024,rsa_3,2,2,kary,4,14,14,0,14
1024,rsa_3,2,2,sliding,4,14,7,1,8
1024,rsa_3,2,2,kary,6,14,62,0,62
1024,rsa_3,2,2,sliding,6,14,31,1,32
1024,power_of_2,1,1024,binary_lr,,14,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,14,1,1023,1024
1024,power_of_2,1,1024,kary,4,14,14,1020,1034
1024,power_of_2,1,1024,sliding,4,14,7,1024,1031
1024,power_of_2,1,1024,kary,6,14,62,1020,1082
1024,power_of_2,1,1024,sliding,6,14,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,14,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,14,1024,1023,2047
1024,all_ones,1024,1024,kary,4,14,269,1020,1289
1024,all_ones,1024,1024,sliding,4,14,262,1021,1283
1024,all_ones,1024,1024,kary,6,14,232,1020,1252
1024,all_ones,1024,1024,sliding,6,14,201,1019,1220
1024,random,516,1024,binary_lr,,14,516,1024,1540
1024,random,516,1024,binary_rl,,14,516,1023,1539
1024,random,516,1024,kary,4,14,253,1020,1273
1024,random,516,1024,sliding,4,14,211,1021,1232
1024,random,516,1024,kary,6,14,228,1020,1248
1024,random,516,1024,sliding,6,14,175,1019,1194
1024,rsa_65537,2,17,binary_lr,,15,2,17,19
1024,rsa_65537,2,17,binary_rl,,15,2,16,18
1024,rsa_65537,2,17,kary,4,15,15,16,31
1024,rsa_65537,2,17,sliding,4,15,8,17,25
1024,rsa_65537,2,17,kary,6,15,63,12,75
1024,rsa_65537,2,17,sliding,6,15,32,17,49
1024,rsa_3,2,2,binary_lr,,15,2,2,4
1024,rsa_3,2,2,binary_rl,,15,2,1,3
1024,rsa_3,2,2,kary,4,15,14,0,14
1024,rsa_3,2,2,sliding,4,15,7,1,8
1024,rsa_3,2,2,kary,6,15,62,0,62
1024,rsa_3,2,2,sliding,6,15,31,1,32
1024,power_of_2,1,1024,binary_lr,,15,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,15,1,1023,1024
1024,power_of_2,1,1024,kary,4,15,14,1020,1034
1024,power_of_2,1,1024,sliding,4,15,7,1024,1031
1024,power_of_2,1,1024,kary,6,15,62,1020,1082
1024,power_of_2,1,1024,sliding,6,15,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,15,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,15,1024,1023,2047
1024,all_ones,1024,1024,kary,4,15,269,1020,1289
1024,all_ones,1024,1024,sliding,4,15,262,1021,1283
1024,all_ones,1024,1024,kary,6,15,232,1020,1252
1024,all_ones,1024,1024,sliding,6,15,201,1019,1220
1024,random,489,1024,binary_lr,,15,489,1024,1513
1024,random,489,1024,binary_rl,,15,489,1023,1512
1024,random,489,1024,kary,4,15,252,1020,1272
1024,random,489,1024,sliding,4,15,208,1021,1229
1024,random,489,1024,kary,6,15,229,1020,1249
1024,random,489,1024,sliding,6,15,176,1021,1197
1024,rsa_65537,2,17,binary_lr,,16,2,17,19
1024,rsa_65537,2,17,binary_rl,,16,2,16,18
1024,rsa_65537,2,17,kary,4,16,15,16,31
1024,rsa_65537,2,17,sliding,4,16,8,17,25
1024,rsa_65537,2,17,kary,6,16,63,12,75
1024,rsa_65537,2,17,sliding,6,16,32,17,49
1024,rsa_3,2,2,binary_lr,,16,2,2,4
1024,rsa_3,2,2,binary_rl,,16,2,1,3
1024,rsa_3,2,2,kary,4,16,14,0,14
1024,rsa_3,2,2,sliding,4,16,7,1,8
